Adeline
Adrienne
Adèle
Agathe
Agnès
Aicha
Aimée
Albane
Albertine
Alexandra
Alexandrine
Alexia
Alicia
Aline
Alix
Alphonsine
Amandine
Amina
Amélia
Amélie
Ana
Anaïs
Andréa
Andrée
Angelina
Angeline
Angelique
Angèle
Anita
Anne
Anne-Marie
Annette
Annick
Annie
Antoinette
Apolline
Ariane
Arlette
Armande
Armelle
Astrid
Aude
Augusta
Augustine
Aurelia
Aurore
Aurélie
Axelle
Barbara
Benedicte
Bernadette
Berthe
Betty
Blanche
Blandine
Brigitte
Béatrice
Bérénice
Carla
Carmen
Carole
Caroline
Catherine
Celestine
Chantal
Charline
Charlotte
Christelle
Christiane
Christine
Claire
Clara
Clarisse
Claude
Claudette
Claudia
Claudie
Claudine
Clotilde
Clémence
Clémentine
Colette
Constance
Coralie
Corinne
Cécile
Cécilia
Célia
Céline
Dalila
Daniele
Danielle
Delphine
Denise
Diane
Dolores
Dominique
Doriane
Dorothee
Edith
Edwige
Elena
Eleonore
Eliane
Elina
Elisa
Elisabeth
Elise
Elodie
Eloise
Elsa
Emeline
Emilie
Emilienne
Emmanuelle
Emmy
Erika
Ernestine
Estelle
Esther
Eugénie
Eve
Eveline
Evelyne
Fabienne
Fanny
Fatima
Faustine
Felicie
Fernande
Flavie
Flora
Flore
Florence
Floriane
Florine
France
Francine
Françoise
Frédérique
Gabrielle
Gaelle
Geneviève
Georgette
Geraldine
Germaine
Ghislaine
Gilberte
Ginette
Gisèle
Helena
Henriette
Hortense
Huguette
Héloïse
Hélène
Ida
Ingrid
Iris
Irma
Irène
Isabelle
Jacqueline
Janine
Jasmine
Jeanine
Jeanne
Jeannette
Jeannine
Jocelyne
Johanna
Josephine
Josette
Josiane
Joëlle
Judith
Julia
Julie
Julienne
Justine
Karine
Katia
Laetitia
Laura
Laure
Laurence
Lauriane
Leila
Lila
Lilia
Liliane
Lily
Linda
Line
Lisa
Lise
Livia
Louisa
Louisette
Lucette
Lucienne
Lucile
Ludivine
Lydia
Lydie
Léone
Léonie
Léontine
Madeleine
Magali
Magalie
Marcelle
Margot
Marguerite
Maria
Mariam
Marianne
Marie
Marie-Ange
Marie-Anne
Marie-Christine
Marie-Claire
Marie-Claude
Marie-France
Marie-Françoise
Marie-Hélène
Marie-Jeanne
Marie-José
Marie-Laure
Marie-Louise
Marie-Madeleine
Marie-Noëlle
Marie-Paule
Marie-Pierre
Marie-Rose
Marie-Thérèse
Marielle
Mariette
Marina
Marine
Marinette
Marion
Marjorie
Marlène
Marthe
Martine
Maryline
Maryse
Maryvonne
Mathilde
Maud
Mauricette
Micheline
Michelle
Michèle
Mireille
Monique
Muriel
Murielle
Mylène
Myriam
Mélanie
Mélina
Nadege
Nadia
Nadine
Nathalie
Nelly
Nicole
Nina
Ninon
Noelie
Noemie
Nora
Noëlle
Odette
Odile
Olga
Olivia
Pascale
Pascaline
Patricia
Paule
Paulette
Pauline
Perrine
Philomene
Pierrette
Rachel
Raymonde
Rebecca
Reine
Rejane
Renée
Roberte
Rolande
Rosa
Rosalie
Rose-Marie
Roseline
Roselyne
Roxane
Régine
Sabine
Salomé
Sara
Severine
Simone
Sofia
Solange
Sonia
Sophia
Sophie
Stella
Stéphanie
Suzanne
Sylvia
Sylviane
Sylvie
Tatiana
Thérèse
Valentine
Valérie
Victoire
Victoria
Victorine
Violette
Virginie
Viviane
Véronique
Yasmina
Yolande
Yvette
Yvonne
